source;gene
giladi_et_al;Hist1h3c
giladi_et_al;Hist1h3b
giladi_et_al;Hist1h2be
giladi_et_al;Hist1h2ap
giladi_et_al;Hist1h2an
giladi_et_al;Hist1h2ak
giladi_et_al;Hist1h2ai
giladi_et_al;Hist1h2af
giladi_et_al;Hist1h2ae
giladi_et_al;Hist1h2ac
giladi_et_al;Hist1h2ab
giladi_et_al;Hist1h1d
giladi_et_al;Hist1h1c
giladi_et_al;Hist1h1b
giladi_et_al;Hist1h1a
giladi_et_al;H3f3a
giladi_et_al;H2afx
giladi_et_al;H2afv
giladi_et_al;Fyr
giladi_et_al;Fam64a
giladi_et_al;Ezh2
giladi_et_al;Esco2
giladi_et_al;Ect2
giladi_et_al;Dyrk1a
giladi_et_al;"Dut;Dutp"
giladi_et_al;Dnmt1
giladi_et_al;Dnajc9
giladi_et_al;Dlgap5
giladi_et_al;Dek
giladi_et_al;Dctn5
giladi_et_al;D2Ertd750e
giladi_et_al;Ctcf
giladi_et_al;Clspn
giladi_et_al;Ckap5
giladi_et_al;Ckap2l
giladi_et_al;Ckap2
giladi_et_al;Cit
giladi_et_al;Cep55
giladi_et_al;Cenpm
giladi_et_al;Cenpf
giladi_et_al;Cenpe
giladi_et_al;Cenp-a
giladi_et_al;Cdkn3
giladi_et_al;Cdk1
giladi_et_al;Cdca8
giladi_et_al;Cdca3
giladi_et_al;Cdc20
giladi_et_al;Ccnb2
giladi_et_al;Calm2
giladi_et_al;Bub3
giladi_et_al;Bub1b
giladi_et_al;Birc5
giladi_et_al;Bdp1
giladi_et_al;Aurka
giladi_et_al;Atad2
giladi_et_al;Asp
giladi_et_al;Asf1b
giladi_et_al;Arl6ip1
giladi_et_al;Apobec3
giladi_et_al;Anp32e
giladi_et_al;Anapc5
giladi_et_al;AK088743
giladi_et_al;AK012387
giladi_et_al;2810417H13Rik
giladi_et_al;mKIAA1090
giladi_et_al;D17H6S56E-5
giladi_et_al;mKIAA1241
giladi_et_al;Aspm
giladi_et_al;Cenpa
giladi_et_al;mKIAA0097
giladi_et_al;Gm14090
giladi_et_al;mKIAA0008
giladi_et_al;AK183279
giladi_et_al;Uba52
giladi_et_al;Ubc
giladi_et_al;Smc4
giladi_et_al;Mtb
giladi_et_al;AK079263
giladi_et_al;Hnrnpa2b1
giladi_et_al;IHABP
giladi_et_al;Hist1h1e
giladi_et_al;H3f3b
giladi_et_al;H2afz
giladi_et_al;Fzr1
giladi_et_al;Plk1
