Schwann cells;Ng2+ MSCs;Osteoblasts;Chondrocytes;Fibroblast/Chondrocyte progenitors;Sinusoidal endothelial cells;Arterial endothelial cells;Adipo-CAR;Osteo-CAR;Smooth muscle cells;Myofibroblasts;Stromal fibroblasts;Arteriolar fibroblasts;Endosteal fibroblasts;Erythroblasts;Erythroid progenitors;Neutrophil progenitors;Monocyte progenitors;Granulocyte/Monocyte progenitors;Eosinophil/Basophil progenitors;Lymphoid-primed multipotent progenitors;Erythroid/Megakaryocyte progenitors;Megakaryocyte progenitors;large pre-B cells;pro-B cells;Monocytes;Neutrophils;T cells;NK cells;Dendritic cells;small pre-B cells;B cells
;;;;;;;;;;;;;;Scly;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rad51;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ppp2r1b;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pmvk;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ftsj1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Nusap1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Srp19;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrpl12;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cox7b;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Uqcr10;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Eif3d;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Slc16a1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ckap2l;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Prc1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tmem33;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Chchd3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ezh2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ndufb8;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rec114;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tfdp2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrps22;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rabggtb;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Eif2b3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Eif2b4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pole2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Siah1b;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Leprot;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Fam134a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Lrwd1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cenpl;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Zfp672;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Gm12999;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Fam234b;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Farsb;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Lbr;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cdca4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Emilin2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cinp;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Dynlt1a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tomm22;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Psmc3ip;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cul4a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1300017J02Rik;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pola2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ampd3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Smc4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrpl41;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Psmg2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Btnl10;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Fam96a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Htra2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Wdr61;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ndufs1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Prkab1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cbx5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rbm43;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Trim59;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ube2c;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Stoml2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ndufb4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Wbp5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cir1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Redrum;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tamm41;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ssbp3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Nxt1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ormdl2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Uqcrc2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Eif5a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Paics;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Gemin6;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Taf12;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Gm10020;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ctbp1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrpl46;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ak6;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rmdn3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pkig;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cenpn;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;AI662270;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Incenp;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Agfg2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Hmgn1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Timm17a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Nudt1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Nup43;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ube2t;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Wdhd1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;D1Ertd622e;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Arl6ip6;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ndufc1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Bola1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Casc5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Nelfcd;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rpp25l;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cdkn2c;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ppp1r7;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rab3il1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Hpn;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Wdr76;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Gm10073;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Prim2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;E2f8;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pold3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Polr3h;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Dlst;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Vrk1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Lsm3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Polr2f;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pithd1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ndufa2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Polr2c;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pqlc1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tcf19;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Hras;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Hspd1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Znhit3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rpl18;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Nme4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Nt5c3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tceb1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrps16;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Chaf1a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mars;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mthfd2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Nfs1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rhno1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Phyhip;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ube2l3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Psmb5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Psmd13;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rps6;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Usp39;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mxd3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Gm37915;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Carnmt1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Sf3b6;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Commd3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ppih;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;March2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ube2s;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Sqrdl;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rps5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ubp1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Shcbp1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Eif2b1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Med7;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Smim8;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Stradb;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Lsm6;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Idh3a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mpp1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rpl4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrpl50;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Hist1h2al;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrpl15;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Anapc5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Fam162a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ubl4a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ndufa10;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pomp;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cox11;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pdzd11;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tac2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Sfxn1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Eif2s1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ezr;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cox17;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Esd;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Fbxo3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrpl57;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrpl34;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ssb;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Psmb2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Akip1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;E2f1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Haus1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Smox;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Slc25a51;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Psmd3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Eci2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rcc1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ap2s1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Apitd1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrpl13;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Fam117a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Fopnl;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Chchd1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrps25;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cdca5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ormdl3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Aurkb;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Psmd5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ncapd3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tmem60;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rnf26;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Klhdc2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Slmo2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Asnsd1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Gde1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Psma5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Wdr18;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Lyar;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Psmc4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cs;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Nubp2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1700020I14Rik;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Sars;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Thumpd3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Hrsp12;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ppp1cc;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rps18;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Gmps;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Nudt4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Dynll1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cenpe;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Bbip1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mtx2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Psmd12;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Usmg5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pole4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Armc1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrps11;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Casp6;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ap2a1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Nup93;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cacybp;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Luc7l3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Fbl;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ahsa1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cct2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Park7;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;2210016F16Rik;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrto4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ubl5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Naa10;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Neil3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrps18b;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Psmd1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Hspa14;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cops5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Samm50;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Psmg3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cct3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Eif3a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Knstrn;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Slirp;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Bud31;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Psmd10;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrpl42;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Bub3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ncaph2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Eef1a1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Eif3g;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Atad2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Nap1l4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mpv17l2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Eri1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tmem208;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cdc123;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pa2g4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ndufa8;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Clpp;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pigyl;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rpp30;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rpl3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrps7;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Vars;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ube2e3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rnps1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Aimp2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Nup62;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Gm8186;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cd59a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Srsf6;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Wapl;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Sod2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Smap1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pdhb;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Guk1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Hmgcl;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Dus1l;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Abhd16a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pin4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Srsf10;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Aasdhppt;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Prps1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Afg3l2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Setd8;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Prpf38a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1110004F10Rik;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ube2v2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Acaa2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ndufb2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Aurkaip1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Smc3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Spcs1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Txn1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Zranb2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Taf6l;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Snf8;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Bax;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ung;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Gps2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Emc8;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ctsd;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Timm17b;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Psma4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rbbp4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrpl36;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rps11;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Eftud2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Smarca5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Higd1a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Smc1a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Dkc1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Sf3b5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tmem147;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Eid1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Hacd1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Psma6;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Immt;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cops3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pcbp1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Acsl5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Uba2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ndufs4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;D8Ertd738e;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Uchl5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Bckdk;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Vdac1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrps21;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Timm50;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Zcchc17;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Arl6ip4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Stip1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Eif3l;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;0610011F06Rik;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrpl21;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Zcrb1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Aifm1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;2410015M20Rik;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Eif2s2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tpr;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Atp5e;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Trappc1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rpa3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Dazap1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Psmd2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Adk;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ubxn1;;;;;;;;;;;;;;;;;
