Schwann cells;Ng2+ MSCs;Osteoblasts;Chondrocytes;Fibroblast/Chondrocyte progenitors;Sinusoidal endothelial cells;Arterial endothelial cells;Adipo-CAR;Osteo-CAR;Smooth muscle cells;Myofibroblasts;Stromal fibroblasts;Arteriolar fibroblasts;Endosteal fibroblasts;Erythroblasts;Erythroid progenitors;Neutrophil progenitors;Monocyte progenitors;Granulocyte/Monocyte progenitors;Eosinophil/Basophil progenitors;Lymphoid-primed multipotent progenitors;Erythroid/Megakaryocyte progenitors;Megakaryocyte progenitors;large pre-B cells;pro-B cells;Monocytes;Neutrophils;T cells;NK cells;Dendritic cells;small pre-B cells;B cells
Epb41l3;Copz2;Fkbp10;Ppib;Nt5e;Gnai2;Mmrn2;Socs3;Ebf1;Igfbp7;Cebpb;Fxyd1;Lgals1;Ugdh;Rpsa;G3bp1;Myb;Hexa;Ly86;Ms4a3;Phgdh;Rps11;Lims1;Clic1;Cd72;Lilrb4a;Ncf4;Hcst;Hmha1;Laptm5;Fam129c;Tmsb10
Elavl3;Cp;Gm10076;Bhlhe40;P4ha2;Rps27rt;Icam2;Cp;Marcks;Ppp1r12a;Rplp0;Ifitm3;S100a10;Dpt;Rrm2;Rpl28;Pdia3;Gng12;Serpinb1a;Lgals1;Paip2;Rpl36;Hnrnpa1;H2afz;Prep;Arpc2;Shfm1;Lef1;Id2;Tsc22d1;Klhl6;Irf8
Slain1;Gm26917;Sgms2;Btg2;Prnp;H2-D1;Adam15;Nrp1;Id3;Klf9;Hspa5;Vwa1;Col6a2;Procr;Minpp1;Mrpl52;Hk3;Etfb;Hspd1;Fcer1g;Rps5;Sox4;Rpl17;Asf1b;Gm10076;Ccl9;Gmfg;Skap1;H2-Q7;Btg1;Fam53b;Pfn1
Shisa4;Slc29a1;Cdo1;Prnp;Ubc;Id3;Malat1;Rcn3;Gdpd2;Junb;Gm10263;Cpe;Rnase4;Tnxb;Rpl23;Rps4x;Rgcc;Fam49b;Atp8b4;Spns3;Myct1;Trp53;Cdk6;Tuba1b;Klhl6;Sat1;Vasp;Cd2;Gm9843;Nucb2;Cd37;Cd19
Gpr37;Efemp2;Col22a1;Lgals3;Rabac1;Prkcdbp;Rdx;Chrdl1;Ibsp;Nrip2;Rpl13-ps3;Sdc2;Ifitm2;Tuba1a;Ermap;Rpl22l1;Manf;Sh3bgrl3;Ccl9;Eif4a1;Rps3a1;Rps9;Serpina3g;Ptp4a3;Lgals9;Lst1;Slfn2;Rpl8;Tbc1d10c;Tmsb4x;Siglecg;Smim14
Fscn1;Cd9;Ostc;Rcn3;Phlda1;Ctsl;Tspan7;Comt;Ctsb;Ubb;Chrdl2;Entpd2;Rcn3;Fbln2;Dtymk;Nop56;Pkm;Ass1;Hk3;Gmfg;Adgrg1;Zfp36l2;Fli1;Hnrnpd;Pkig;Cebpb;Glrx;Rpl36;Sell;Snx5;Coro1a;Rnase6
Fa2h;Dapk2;Mef2c;Bgn;Serpinh1;B2m;Ptprb;Epdr1;Esm1;Atp1a2;Rpl18a;Enpp2;Ly6a;Laptm4a;Tspan33;Plscr1;Shfm1;Nrros;Slpi;Rpl39;Rpl13;Eif5a;Gata2;Raly;Srp14;Arpc5;Prr13;Rpl21;Fcer1g;Npc2;Pou2af1;Rpl13a
Csrp1;Clec11a;Ckap4;Rrbp1;Dstn;Tmsb4x;Ecscr;Ghr;Serping1;Dynll1;Sqstm1;Jun;Ecm1;Ddah2;Ifrd2;Khk;Cldn15;Pkm;Snrpf;Lgals9;Ptpre;Xist;Nop10;Cfl1;Pgls;Vsir;Ncf1;Gm15013;Gimap5;Serinc3;Unc93b1;Prdx5
Evi2a;Lrp4;Slc36a2;Fn1;Cdc42ep3;Smagp;Vim;Csf1;Csf1;Hspb1;Eef1a1;Cp;Htra3;Sema3c;Slc38a5;Ldha;Atp8b4;Atp8b4;B4galnt1;Alox5ap;Fkbp3;Atpif1;Rps19;Psma6;Gm10263;Ifi27l2a;Serpinb1a;Rpl12;Xcl1;St8sia4;Klf2;Swap70
Hapln2;Lum;Serf2;Serpina1d;P4ha1;Sdpr;Gng11;Ackr4;Palld;Rrad;Dag1;Fth1;Fhl1;S100a16;Dek;Rpl32;Dbi;Pabpc1;Nop10;Gm2a;Arpc2;Hdgf;Nkg7;Snrpg;Rps28;Cd48;Cotl1;Evl;Bcl2;Tspan13;Arpc5l;Actr3
